Gene	p value	Name
LOC652276	>0.1	potassium channel tetramerization domain containing 5 pseudogene(LOC652276)
MAGED1	>0.1	MAGE family member D1
UBE2E1	>0.1	ubiquitin conjugating enzyme E2 E1
POLG2	>0.1	DNA polymerase gamma 2, accessory subunit
LOC202181	>0.1	SUMO interacting motifs containing 1 pseudogene(LOC202181)
AMOTL1	>0.1	angiomotin like 1
PNMA3	>0.1	PNMA family member 3
SPRR3	>0.1	small proline rich protein 3
CDH7	>0.1	cadherin 7
PPARG	>0.1	peroxisome proliferator activated receptor gamma
MFN1	>0.1	mitofusin 1
CHCHD2	>0.1	coiled-coil-helix-coiled-coil-helix domain containing 2
IQSEC3	>0.1	IQ motif and Sec7 domain ArfGEF 3
C12orf71	>0.1	chromosome 12 open reading frame 71
LEP	>0.1	leptin
SLC22A1	>0.1	solute carrier family 22 member 1
ATP11A-AS1	>0.1	ATP11A antisense RNA 1
DHX15	>0.1	DEAH-box helicase 15
WFDC11	>0.1	WAP four-disulfide core domain 11
CCDC103	>0.1	coiled-coil domain containing 103
CARS	>0.1	cysteinyl-tRNA synthetase 1
MAGEB17	>0.1	MAGE family member B17
SATB2	>0.1	SATB homeobox 2
ESAM	>0.1	endothelial cell adhesion molecule
LINGO1	>0.1	leucine rich repeat and Ig domain containing 1
ZDHHC8P1	>0.1	ZDHHC8 pseudogene 1
LRRC75A-AS1	>0.1	small nucleolar RNA host gene 29
PAX8	>0.1	paired box 8
TP53AIP1	>0.1	tumor protein p53 regulated apoptosis inducing protein 1
C21orf2	>0.1	cilia and flagella associated protein 410
PSMD7	>0.1	proteasome 26S subunit, non-ATPase 7
CBFA2T2	>0.1	CBFA2/RUNX1 partner transcriptional co-repressor 2
BRE	>0.1	BRISC and BRCA1 A complex member 2
CEP85L	>0.1	centrosomal protein 85 like
APC	>0.1	APC regulator of WNT signaling pathway
C12orf75	>0.1	chromosome 12 open reading frame 75
PIK3R1	>0.1	phosphoinositide-3-kinase regulatory subunit 1
PHRF1	>0.1	PHD and ring finger domains 1
COL10A1	>0.1	collagen type X alpha 1 chain
NGRN	>0.1	neugrin, neurite outgrowth associated
TAS2R60	>0.1	taste 2 receptor member 60
MRPL16	>0.1	mitochondrial ribosomal protein L16
FABP1	>0.1	fatty acid binding protein 1
VCL	>0.1	vinculin
INTS5	>0.1	integrator complex subunit 5
SLC23A3	>0.1	solute carrier family 23 member 3
SEC61A2	>0.1	SEC61 translocon subunit alpha 2
NAPG	>0.1	NSF attachment protein gamma
OR8K5	>0.1	olfactory receptor family 8 subfamily K member 5
LATS2	>0.1	large tumor suppressor kinase 2
POLG	>0.1	DNA polymerase gamma, catalytic subunit
CDK4	>0.1	cyclin dependent kinase 4
NELFA	>0.1	negative elongation factor complex member A
CHCHD1	>0.1	coiled-coil-helix-coiled-coil-helix domain containing 1
DHRS4L2	>0.1	dehydrogenase/reductase 4 like 2
NMUR2	>0.1	neuromedin U receptor 2
CXXC4	>0.1	CXXC finger protein 4
SIGLEC12	>0.1	sialic acid binding Ig like lectin 12
ZKSCAN4	>0.1	zinc finger with KRAB and SCAN domains 4
ETV4	>0.1	ETS variant transcription factor 4
GPR119	>0.1	G protein-coupled receptor 119
CLNK	>0.1	cytokine dependent hematopoietic cell linker
TCTEX1D4	>0.1	dynein light chain Tctex-type 4
LOC284837	>0.1	
FLJ10038	>0.1	GABPB1 intronic transcript
OTUD3	>0.1	OTU deubiquitinase 3
AHSP	>0.1	alpha hemoglobin stabilizing protein
RAPGEF4	>0.1	Rap guanine nucleotide exchange factor 4
CACNA1C	>0.1	calcium voltage-gated channel subunit alpha1 C
GLYCTK	>0.1	glycerate kinase
LOC100422737	>0.1	
ANKRD17	>0.1	ankyrin repeat domain 17
ABCC6	>0.1	ATP binding cassette subfamily C member 6
NUDCD1	>0.1	NudC domain containing 1
NCBP1	>0.1	nuclear cap binding protein subunit 1
NUP214	>0.1	nucleoporin 214
TBX5-AS1	>0.1	TBX5 antisense RNA 1
GPR32	>0.1	G protein-coupled receptor 32
VPRBP	>0.1	DDB1 and CUL4 associated factor 1
ATP1A3	>0.1	ATPase Na+/K+ transporting subunit alpha 3
TSG101	>0.1	tumor susceptibility 101
WLS	>0.1	Wnt ligand secretion mediator
NIPSNAP1	>0.1	nipsnap homolog 1
SPATA18	>0.1	spermatogenesis associated 18
SLC7A4	>0.1	solute carrier family 7 member 4
GPR158-AS1	>0.1	GPR158 antisense RNA 1
SFTPC	>0.1	surfactant protein C
TTC39C	>0.1	tetratricopeptide repeat domain 39C
TIAM1	>0.1	TIAM Rac1 associated GEF 1
CBX3	>0.1	chromobox 3
KRTAP10-2	>0.1	keratin associated protein 10-2
C3orf38	>0.1	chromosome 3 open reading frame 38
C16orf96	>0.1	chromosome 16 open reading frame 96
LRIG1	>0.1	leucine rich repeats and immunoglobulin like domains 1
DDX55	>0.1	DEAD-box helicase 55
NFKBIZ	>0.1	NFKB inhibitor zeta
VPS13C	>0.1	vacuolar protein sorting 13 homolog C
LOC101928154	>0.1	
LSAMP	>0.1	limbic system associated membrane protein
ZNF204P	>0.1	zinc finger protein 204, pseudogene
CHI3L2	>0.1	chitinase 3 like 2
NCOA4	>0.1	nuclear receptor coactivator 4
MRPL9	>0.1	mitochondrial ribosomal protein L9
KRTAP3-3	>0.1	keratin associated protein 3-3
C11orf74	>0.1	intraflagellar transport associated protein
GNAI1	>0.1	G protein subunit alpha i1
VPS51	>0.1	VPS51 subunit of GARP complex
HMSD	>0.1	histocompatibility minor serpin domain containing
CEBPZOS	>0.1	CEBPZ opposite strand
B3GALTL	>0.1	beta 3-glucosyltransferase
BBS7	>0.1	Bardet-Biedl syndrome 7
LYPLAL1	>0.1	lysophospholipase like 1
EPB41L4A	>0.1	erythrocyte membrane protein band 4.1 like 4A
STAG1	>0.1	stromal antigen 1
FAM95B1	>0.1	family with sequence similarity 95 member B1
RNF138	>0.1	ring finger protein 138
ZNF876P	>0.1	zinc finger protein 876, pseudogene
NR3C2	>0.1	nuclear receptor subfamily 3 group C member 2
KCNK2	>0.1	potassium two pore domain channel subfamily K member 2
KLHDC10	>0.1	kelch domain containing 10
PANX1	>0.1	pannexin 1
TAX1BP3	>0.1	Tax1 binding protein 3
PHOSPHO2-KLHL23	>0.1	PHOSPHO2-KLHL23 readthrough(PHOSPHO2-KLHL23)
PML	>0.1	PML nuclear body scaffold
ARL6	>0.1	ADP ribosylation factor like GTPase 6
FIP1L1	>0.1	factor interacting with PAPOLA and CPSF1
TMEM200B	>0.1	transmembrane protein 200B
SPANXN5	>0.1	SPANX family member N5
HOXA6	>0.1	homeobox A6
POM121L8P	>0.1	POM121 transmembrane nucleoporin like 8, pseudogene
AP2A1	>0.1	adaptor related protein complex 2 subunit alpha 1
KCNA1	>0.1	potassium voltage-gated channel subfamily A member 1
DHX32	>0.1	DEAH-box helicase 32 (putative)
MAGI2	>0.1	membrane associated guanylate kinase, WW and PDZ domain containing 2
POLB	>0.1	DNA polymerase beta
RHNO1	>0.1	RAD9-HUS1-RAD1 interacting nuclear orphan 1
CDKN2B-AS1	>0.1	CDKN2B antisense RNA 1
LOC284379	>0.1	solute carrier family 7 member 3 pseudogene(LOC284379)
SERPINB11	>0.1	serpin family B member 11
SLC6A11	>0.1	solute carrier family 6 member 11
DNAH5	>0.1	dynein axonemal heavy chain 5
TNN	>0.1	tenascin N
PODXL2	>0.1	podocalyxin like 2
SLC26A3	>0.1	solute carrier family 26 member 3
COX8A	>0.1	cytochrome c oxidase subunit 8A
SIPA1	>0.1	signal-induced proliferation-associated 1
WWTR1	>0.1	WW domain containing transcription regulator 1
SLC26A1	>0.1	solute carrier family 26 member 1
LNX1	>0.1	ligand of numb-protein X 1
POLL	>0.1	DNA polymerase lambda
ABLIM2	>0.1	actin binding LIM protein family member 2
SLC9A5	>0.1	solute carrier family 9 member A5
NUCB2	>0.1	nucleobindin 2
LINC01141	>0.1	long intergenic non-protein coding RNA 1141
MAN2A2	>0.1	mannosidase alpha class 2A member 2
RBM12	>0.1	RNA binding motif protein 12
HS3ST3A1	>0.1	heparan sulfate-glucosamine 3-sulfotransferase 3A1
RINT1	>0.1	RAD50 interactor 1
MAP7	>0.1	microtubule associated protein 7
LOC285626	>0.1	uncharacterized LOC285626(LOC285626)
NCAM1	>0.1	neural cell adhesion molecule 1
TPM3	>0.1	tropomyosin 3
EPHA1	>0.1	EPH receptor A1
UHRF1	>0.1	ubiquitin like with PHD and ring finger domains 1
PLAUR	>0.1	plasminogen activator, urokinase receptor
FAH	>0.1	fumarylacetoacetate hydrolase
CHMP2A	>0.1	charged multivesicular body protein 2A
ABR	>0.1	ABR activator of RhoGEF and GTPase
LINC01115	>0.1	long intergenic non-protein coding RNA 1115
SLC19A2	>0.1	solute carrier family 19 member 2
TCEAL8	>0.1	transcription elongation factor A like 8
FAM58B	>0.1	CCNQ pseudogene 1
ISPD	>0.1	CDP-L-ribitol pyrophosphorylase A
NELL1	>0.1	neural EGFL like 1
SH3PXD2B	>0.1	SH3 and PX domains 2B
LOC100130987	>0.1	uncharacterized LOC100130987(LOC100130987)
EGR2	>0.1	early growth response 2
KDR	>0.1	kinase insert domain receptor
INPP4B	>0.1	inositol polyphosphate-4-phosphatase type II B
TUFT1	>0.1	tuftelin 1
LINC00160	>0.1	long intergenic non-protein coding RNA 160
TAF2	>0.1	TATA-box binding protein associated factor 2
MPPED1	>0.1	metallophosphoesterase domain containing 1
SLC25A48	>0.1	solute carrier family 25 member 48
ZCCHC12	>0.1	zinc finger CCHC-type containing 12
RCE1	>0.1	Ras converting CAAX endopeptidase 1
LOC340113	>0.1	
LINC00305	>0.1	long intergenic non-protein coding RNA 305
FBLN7	>0.1	fibulin 7
DPYD	>0.1	dihydropyrimidine dehydrogenase
SMIM14	>0.1	small integral membrane protein 14
LIMCH1	>0.1	LIM and calponin homology domains 1
CSAG2	>0.1	CSAG family member 2
KCTD11	>0.1	potassium channel tetramerization domain containing 11
PVR	>0.1	PVR cell adhesion molecule
FMO2	>0.1	flavin containing dimethylaniline monoxygenase 2
CDK8	>0.1	cyclin dependent kinase 8
USF2	>0.1	upstream transcription factor 2, c-fos interacting
ZNF552	>0.1	zinc finger protein 552
MID1IP1	>0.1	MID1 interacting protein 1
LRIT3	>0.1	leucine rich repeat, Ig-like and transmembrane domains 3
TNXB	>0.1	tenascin XB
CCDC81	>0.1	coiled-coil domain containing 81
CNNM2	>0.1	cyclin and CBS domain divalent metal cation transport mediator 2
PASD1	>0.1	PAS domain containing repressor 1
SLC28A2	>0.1	solute carrier family 28 member 2
RAB37	>0.1	RAB37, member RAS oncogene family
GAK	>0.1	cyclin G associated kinase
CACHD1	>0.1	cache domain containing 1
LOC100129027	>0.1	
TCERG1L	>0.1	transcription elongation regulator 1 like
IPO4	>0.1	importin 4
ACSL6	>0.1	acyl-CoA synthetase long chain family member 6
LINC00442	>0.1	long intergenic non-protein coding RNA 442
SIGLEC10	>0.1	sialic acid binding Ig like lectin 10
UGT1A6	>0.1	UDP glucuronosyltransferase family 1 member A6
C12orf42	>0.1	chromosome 12 open reading frame 42
DAPK2	>0.1	death associated protein kinase 2
PTN	>0.1	pleiotrophin
MBNL1	>0.1	muscleblind like splicing regulator 1
GFM2	>0.1	GTP dependent ribosome recycling factor mitochondrial 2
KIAA1715	>0.1	lunapark, ER junction formation factor
DAPK3	>0.1	death associated protein kinase 3
ATP5L	>0.1	ATP synthase membrane subunit g
PCOLCE2	>0.1	procollagen C-endopeptidase enhancer 2
LYNX1	>0.1	Ly6/neurotoxin 1
C12orf60	>0.1	chromosome 12 open reading frame 60
IKZF1	>0.1	IKAROS family zinc finger 1
FCGR2C	>0.1	Fc gamma receptor IIc (gene/pseudogene)
ERICH5	>0.1	glutamate rich 5
HIST1H2AL	>0.1	H2A clustered histone 16
JMJD7	>0.1	jumonji domain containing 7
PNRC2	>0.1	proline rich nuclear receptor coactivator 2
GPER1	>0.1	G protein-coupled estrogen receptor 1
MAGOHB	>0.1	mago homolog B, exon junction complex subunit
RAB8A	>0.1	RAB8A, member RAS oncogene family
LRRC23	>0.1	leucine rich repeat containing 23
ZBTB32	>0.1	zinc finger and BTB domain containing 32
VDAC2	>0.1	voltage dependent anion channel 2
SLC22A6	>0.1	solute carrier family 22 member 6
RPL38	>0.1	ribosomal protein L38
TP53BP1	>0.1	tumor protein p53 binding protein 1
C3orf18	>0.1	chromosome 3 open reading frame 18
PMFBP1	>0.1	polyamine modulated factor 1 binding protein 1
C9orf91	>0.1	transmembrane protein 268
NFS1	>0.1	NFS1 cysteine desulfurase
VWA3B	>0.1	von Willebrand factor A domain containing 3B
CRIP3	>0.1	cysteine rich protein 3
XRCC6	>0.1	X-ray repair cross complementing 6
CHRNA4	>0.1	cholinergic receptor nicotinic alpha 4 subunit
MRAP2	>0.1	melanocortin 2 receptor accessory protein 2
MAGEA10-MAGEA5	>0.1	
ENTPD8	>0.1	ectonucleoside triphosphate diphosphohydrolase 8
GZF1	>0.1	GDNF inducible zinc finger protein 1
ZNF99	>0.1	zinc finger protein 99
SLC13A4	>0.1	solute carrier family 13 member 4
MIOX	>0.1	myo-inositol oxygenase
SEC31A	>0.1	SEC31 homolog A, COPII coat complex component
GAREM	>0.1	GRB2 associated regulator of MAPK1 subtype 1
KIF26B	>0.1	kinesin family member 26B
SIGLEC14	>0.1	sialic acid binding Ig like lectin 14
MACROD1	>0.1	mono-ADP ribosylhydrolase 1
ATP6AP1L	>0.1	ATPase H+ transporting accessory protein 1 like (pseudogene)
C1QTNF3	>0.1	C1q and TNF related 3
SAMM50	>0.1	SAMM50 sorting and assembly machinery component
ZNF146	>0.1	zinc finger protein 146
PRR34	>0.1	PRR34 long non-coding RNA
CDKN3	>0.1	cyclin dependent kinase inhibitor 3
SYT2	>0.1	synaptotagmin 2
HSP90B1	>0.1	heat shock protein 90 beta family member 1
ZNF281	>0.1	zinc finger protein 281
OR6C3	>0.1	olfactory receptor family 6 subfamily C member 3
RHOJ	>0.1	ras homolog family member J
SRI	>0.1	sorcin
CA10	>0.1	carbonic anhydrase 10
KIF23	>0.1	kinesin family member 23
EBF3	>0.1	EBF transcription factor 3
L3HYPDH	>0.1	trans-L-3-hydroxyproline dehydratase
OR7A10	>0.1	olfactory receptor family 7 subfamily A member 10
BPIFB4	>0.1	BPI fold containing family B member 4
RBBP6	>0.1	RB binding protein 6, ubiquitin ligase
SAP18	>0.1	Sin3A associated protein 18
CSPG5	>0.1	chondroitin sulfate proteoglycan 5
MED27	>0.1	mediator complex subunit 27
ATG14	>0.1	autophagy related 14
OR52N4	>0.1	olfactory receptor family 52 subfamily N member 4
FASTKD1	>0.1	FAST kinase domains 1
CCER1	>0.1	coiled-coil glutamate rich protein 1
CSF2	>0.1	colony stimulating factor 2
CCDC40	>0.1	coiled-coil domain containing 40
VWA9	>0.1	integrator complex subunit 14
MED20	>0.1	mediator complex subunit 20
LMCD1	>0.1	LIM and cysteine rich domains 1
FAM189A1	>0.1	family with sequence similarity 189 member A1
LOC283914	>0.1	
PSMG1	>0.1	proteasome assembly chaperone 1
LOC100132741	>0.1	uncharacterized LOC100132741(LOC100132741)
TAS2R46	>0.1	taste 2 receptor member 46
DLEU2L	>0.1	deleted in lymphocytic leukemia 2 like
ZFP36	>0.1	ZFP36 ring finger protein
LOC653160	>0.1	
GPR39	>0.1	G protein-coupled receptor 39
POPDC2	>0.1	popeye domain containing 2
LINC00864	>0.1	family with sequence similarity 245 member A
ZMYND19	>0.1	zinc finger MYND-type containing 19
NUP54	>0.1	nucleoporin 54
ATF4	>0.1	activating transcription factor 4
SYNDIG1L	>0.1	synapse differentiation inducing 1 like
LINC00152	>0.1	cytoskeleton regulator RNA
DRAM1	>0.1	DNA damage regulated autophagy modulator 1
LINC00260	>0.1	long intergenic non-protein coding RNA 260
SSBP4	>0.1	single stranded DNA binding protein 4
CHERP	>0.1	calcium homeostasis endoplasmic reticulum protein
MRPL21	>0.1	mitochondrial ribosomal protein L21
COX6A1	>0.1	cytochrome c oxidase subunit 6A1
LINC00189	>0.1	long intergenic non-protein coding RNA 189
ARTN	>0.1	artemin
FAM230B	>0.1	family with sequence similarity 230 member B
KLF2	>0.1	Kruppel like factor 2
COX4I2	>0.1	cytochrome c oxidase subunit 4I2
CCDC82	>0.1	coiled-coil domain containing 82
SSR4P1	>0.1	signal sequence receptor subunit 4 pseudogene 1
G3BP2	>0.1	G3BP stress granule assembly factor 2
HYAL1	>0.1	hyaluronidase 1
TRMT1	>0.1	tRNA methyltransferase 1
C15orf56	>0.1	PAK6 antisense RNA 1
OCIAD2	>0.1	OCIA domain containing 2
FGF17	>0.1	fibroblast growth factor 17
PRR5L	>0.1	proline rich 5 like
ADAM12	>0.1	ADAM metallopeptidase domain 12
LOC100128239	>0.1	
STT3A	>0.1	STT3 oligosaccharyltransferase complex catalytic subunit A
PROKR1	>0.1	prokineticin receptor 1
YES1	>0.1	YES proto-oncogene 1, Src family tyrosine kinase
OR4K14	>0.1	olfactory receptor family 4 subfamily K member 14
UCN	>0.1	urocortin
CMC2	>0.1	C-X9-C motif containing 2
RPN2	>0.1	ribophorin II
ILF3-AS1	>0.1	ILF3 divergent transcript
TRAPPC5	>0.1	trafficking protein particle complex subunit 5
LOC100130992	>0.1	uncharacterized LOC100130992(LOC100130992)
SASH1	>0.1	SAM and SH3 domain containing 1
TFDP2	>0.1	transcription factor Dp-2
RP2	>0.1	RP2 activator of ARL3 GTPase
MAF	>0.1	MAF bZIP transcription factor
RLN3	>0.1	relaxin 3
MAGEB6	>0.1	MAGE family member B6
KCNT2	>0.1	potassium sodium-activated channel subfamily T member 2
ARHGAP33	>0.1	Rho GTPase activating protein 33
CDRT15L2	>0.1	CMT1A duplicated region transcript 15 like 2
PDS5A	>0.1	PDS5 cohesin associated factor A
TEX12	>0.1	testis expressed 12
HIST1H4J	>0.1	H4 clustered histone 11
CERS3	>0.1	ceramide synthase 3
SLC32A1	>0.1	solute carrier family 32 member 1
C1orf137	>0.1	long intergenic non-protein coding RNA 2868
ATL2	>0.1	atlastin GTPase 2
IFNA2	>0.1	interferon alpha 2
GDPD5	>0.1	glycerophosphodiester phosphodiesterase domain containing 5
ANKRD34A	>0.1	ankyrin repeat domain 34A
KCNJ10	>0.1	potassium inwardly rectifying channel subfamily J member 10
KIAA1377	>0.1	centrosomal protein 126
LOC400685	>0.1	
ASPG	>0.1	asparaginase
ASXL3	>0.1	ASXL transcriptional regulator 3
PRR20B	>0.1	proline rich 20B
LDHC	>0.1	lactate dehydrogenase C
PABPC4L	>0.1	poly(A) binding protein cytoplasmic 4 like
ACSM3	>0.1	acyl-CoA synthetase medium chain family member 3
PIGQ	>0.1	phosphatidylinositol glycan anchor biosynthesis class Q
NAE1	>0.1	NEDD8 activating enzyme E1 subunit 1
NUGGC	>0.1	nuclear GTPase, germinal center associated
GRHL2	>0.1	grainyhead like transcription factor 2
NAV3	>0.1	neuron navigator 3
SYCE3	>0.1	synaptonemal complex central element protein 3
TUBGCP6	>0.1	tubulin gamma complex associated protein 6
TPGS2	>0.1	tubulin polyglutamylase complex subunit 2
KIAA0556	>0.1	katanin interacting protein
IPMK	>0.1	inositol polyphosphate multikinase
TMC8	>0.1	transmembrane channel like 8
GRIPAP1	>0.1	GRIP1 associated protein 1
TNFAIP8L3	>0.1	TNF alpha induced protein 8 like 3
FLJ31356	>0.1	
CCDC121	>0.1	coiled-coil domain containing 121
OR51G2	>0.1	olfactory receptor family 51 subfamily G member 2
ACSL5	>0.1	acyl-CoA synthetase long chain family member 5
KLKB1	>0.1	kallikrein B1
PIWIL4	>0.1	piwi like RNA-mediated gene silencing 4
IL1R2	>0.1	interleukin 1 receptor type 2
STK38L	>0.1	serine/threonine kinase 38 like
AOX2P	>0.1	aldehyde oxidase 2, pseudogene
ASZ1	>0.1	ankyrin repeat, SAM and basic leucine zipper domain containing 1
PVRIG	>0.1	PVR related immunoglobulin domain containing
FAM26F	>0.1	calcium homeostasis modulator family member 6
TFF2	>0.1	trefoil factor 2
DGKB	>0.1	diacylglycerol kinase beta
MEGF9	>0.1	multiple EGF like domains 9
NR5A2	>0.1	nuclear receptor subfamily 5 group A member 2
SLC16A3	>0.1	solute carrier family 16 member 3
TAS1R1	>0.1	taste 1 receptor member 1
IFNA8	>0.1	interferon alpha 8
GFM1	>0.1	G elongation factor mitochondrial 1
LINC00637	>0.1	PPP1R13B divergent transcript
PDXK	>0.1	pyridoxal kinase
HLA-DMA	>0.1	major histocompatibility complex, class II, DM alpha
RDH8	>0.1	retinol dehydrogenase 8
LOC100507006	>0.1	uncharacterized LOC100507006(LOC100507006)
MKI67	>0.1	marker of proliferation Ki-67
CTU2	>0.1	cytosolic thiouridylase subunit 2
PAX2	>0.1	paired box 2
SMR3A	>0.1	submaxillary gland androgen regulated protein 3A
LCN1	>0.1	lipocalin 1
CMTM5	>0.1	CKLF like MARVEL transmembrane domain containing 5
TMEM59L	>0.1	transmembrane protein 59 like
RNASEH2C	>0.1	ribonuclease H2 subunit C
TRIM2	>0.1	tripartite motif containing 2
TPRKB	>0.1	TP53RK binding protein
TMEM8B	>0.1	transmembrane protein 8B
TDRD3	>0.1	tudor domain containing 3
C17orf104	>0.1	meiosis specific with coiled-coil domain
TCF3	>0.1	transcription factor 3
MOGS	>0.1	mannosyl-oligosaccharide glucosidase
SLC10A2	>0.1	solute carrier family 10 member 2
PCDHA9	>0.1	protocadherin alpha 9
LINC00628	>0.1	long intergenic non-protein coding RNA 628
NDUFA1	>0.1	NADH:ubiquinone oxidoreductase subunit A1
SMIM17	>0.1	small integral membrane protein 17
HHLA1	>0.1	HERV-H LTR-associating 1
NOP14-AS1	>0.1	NOP14 antisense RNA 1
C10orf99	>0.1	chromosome 10 open reading frame 99
PTMA	>0.1	prothymosin alpha
PITX1	>0.1	paired like homeodomain 1
ERC2	>0.1	ELKS/RAB6-interacting/CAST family member 2
GCNT1	>0.1	glucosaminyl (N-acetyl) transferase 1
IGSF9B	>0.1	immunoglobulin superfamily member 9B
YJEFN3	>0.1	YjeF N-terminal domain containing 3
IL2	>0.1	interleukin 2
ANKRD36BP2	>0.1	ankyrin repeat domain 36B pseudogene 2
MT1HL1	>0.1	metallothionein 1H like 1
GGA3	>0.1	golgi associated, gamma adaptin ear containing, ARF binding protein 3
SNHG4	>0.1	small nucleolar RNA host gene 4
TRPC7	>0.1	transient receptor potential cation channel subfamily C member 7
JMJD8	>0.1	jumonji domain containing 8
ZBTB4	>0.1	zinc finger and BTB domain containing 4
PSG9	>0.1	pregnancy specific beta-1-glycoprotein 9
LOC728752	>0.1	
DNAJB4	>0.1	DnaJ heat shock protein family (Hsp40) member B4
YBEY	>0.1	ybeY metalloendoribonuclease
FAM81A	>0.1	family with sequence similarity 81 member A
LOC285768	>0.1	
FAM20C	>0.1	FAM20C golgi associated secretory pathway kinase
FAM83H	>0.1	family with sequence similarity 83 member H
CCDC117	>0.1	coiled-coil domain containing 117
LINC01310	>0.1	long intergenic non-protein coding RNA 1310
STAG3L2	>0.1	stromal antigen 3-like 2 (pseudogene)
TFEC	>0.1	transcription factor EC
BMPR1B	>0.1	bone morphogenetic protein receptor type 1B
LINC00035	>0.1	ABHD11 antisense RNA 1 (tail to tail)
GJA1	>0.1	gap junction protein alpha 1
KLF12	>0.1	Kruppel like factor 12
